UnitID,Institution Name,Grand total (EF2018A All students Undergraduate total),Total Undergraduate Enrollment - All UnitIDs,Mission statement URL ,Mission Statement
484613,University of Phoenix-Arizona,74061,79702,www.phoenix.edu/about_us/about_university_of_phoenix/mission_and_purpose.html,"University of Phoenix provides access to higher education opportunities that enable students to develop knowledge and skills necessary to achieve their professional goals, improve the performance of their organizations, and provide leadership and service to their communities."
484631,University of Phoenix-California,5641,79702,www.phoenix.edu/about_us/about_university_of_phoenix/mission_and_purpose.html,"University of Phoenix provides access to higher education opportunities that enable students to develop knowledge and skills necessary to achieve their professional goals, improve the performance of their organizations, and provide leadership and service to their communities."
104717,Grand Canyon University,54139,54139,https://www.gcu.edu/about-gcu/university-snapshot.php,"Grand Canyon University prepares learners to become global citizens, critical thinkers, effective communicators and responsible leaders by providing an academically challenging, values-based curriculum from the context of our Christian heritage."
449339,American Public University System,37746,37746,https://www.apus.edu/about/mission/,"The mission of American Public University System is to provide high quality higher education with emphasis on educating the nation’s military and public service communities by offering respected, relevant, accessible, affordable, and student-focused online programs that prepare students for service and leadership in a diverse, global society."
459994,Strayer University-Global Region,6699,34965,https://www.strayer.edu/why-online-learning/accredited#commitment,"At Strayer University, our overarching mission is to help you obtain a valuable education that can change your life - starting the day you enroll. Four pillars serve as the foundation for every single one of Strayer University's programs and services. EDUCATIONAL ACCESS. We'll provide you and other members of a diverse population with access to post-secondary education ACADEMIC QUALITY. We'll provide you with rigorous, engaging, and professionally relevant academic programs and experiences. STUDENT SUCCESS. We'll provide opportunities and supportive learning environments to enable you to achieve your academic, personal and professional success. CUSTOMER SERVICE. We'll provide exceptional customer service to you and all Strayer University stakeholders."
458919,Strayer University-Georgia,6431,34965,https://www.strayer.edu/why-online-learning/accredited#commitment,"At Strayer University, our overarching mission is to help you obtain a valuable education that can change your life - starting the day you enroll. Four pillars serve as the foundation for every single one of Strayer University's programs and services. EDUCATIONAL ACCESS. We'll provide you and other members of a diverse population with access to post-secondary education ACADEMIC QUALITY. We'll provide you with rigorous, engaging, and professionally relevant academic programs and experiences. STUDENT SUCCESS. We'll provide opportunities and supportive learning environments to enable you to achieve your academic, personal and professional success. CUSTOMER SERVICE. We'll provide exceptional customer service to you and all Strayer University stakeholders."
453163,Strayer University-North Carolina,4605,34965,https://www.strayer.edu/why-online-learning/accredited#commitment,"At Strayer University, our overarching mission is to help you obtain a valuable education that can change your life - starting the day you enroll. Four pillars serve as the foundation for every single one of Strayer University's programs and services. EDUCATIONAL ACCESS. We'll provide you and other members of a diverse population with access to post-secondary education ACADEMIC QUALITY. We'll provide you with rigorous, engaging, and professionally relevant academic programs and experiences. STUDENT SUCCESS. We'll provide opportunities and supportive learning environments to enable you to achieve your academic, personal and professional success. CUSTOMER SERVICE. We'll provide exceptional customer service to you and all Strayer University stakeholders."
233684,Strayer University-Virginia,4124,34965,https://www.strayer.edu/why-online-learning/accredited#commitment,"At Strayer University, our overarching mission is to help you obtain a valuable education that can change your life - starting the day you enroll. Four pillars serve as the foundation for every single one of Strayer University's programs and services. EDUCATIONAL ACCESS. We'll provide you and other members of a diverse population with access to post-secondary education ACADEMIC QUALITY. We'll provide you with rigorous, engaging, and professionally relevant academic programs and experiences. STUDENT SUCCESS. We'll provide opportunities and supportive learning environments to enable you to achieve your academic, personal and professional success. CUSTOMER SERVICE. We'll provide exceptional customer service to you and all Strayer University stakeholders."
443766,Strayer University-Tennessee,2584,34965,https://www.strayer.edu/why-online-learning/accredited#commitment,"At Strayer University, our overarching mission is to help you obtain a valuable education that can change your life - starting the day you enroll. Four pillars serve as the foundation for every single one of Strayer University's programs and services. EDUCATIONAL ACCESS. We'll provide you and other members of a diverse population with access to post-secondary education ACADEMIC QUALITY. We'll provide you with rigorous, engaging, and professionally relevant academic programs and experiences. STUDENT SUCCESS. We'll provide opportunities and supportive learning environments to enable you to achieve your academic, personal and professional success. CUSTOMER SERVICE. We'll provide exceptional customer service to you and all Strayer University stakeholders."
430184,Strayer University-Maryland,2565,34965,https://www.strayer.edu/why-online-learning/accredited#commitment,"At Strayer University, our overarching mission is to help you obtain a valuable education that can change your life - starting the day you enroll. Four pillars serve as the foundation for every single one of Strayer University's programs and services. EDUCATIONAL ACCESS. We'll provide you and other members of a diverse population with access to post-secondary education ACADEMIC QUALITY. We'll provide you with rigorous, engaging, and professionally relevant academic programs and experiences. STUDENT SUCCESS. We'll provide opportunities and supportive learning environments to enable you to achieve your academic, personal and professional success. CUSTOMER SERVICE. We'll provide exceptional customer service to you and all Strayer University stakeholders."
